ateco,descrizione,cardinalita
84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",89
62.01.00,"Produzione di software non connesso all'edizione",44
62.01,"Produzione di software non connesso all'edizione",43
62.09.09,"Altre attivit dei servizi connessi alle tecnologie dell'informatica nca",22
82.99.99,"Altri servizi di sostegno alle imprese nca",17
62.02,"Consulenza nel settore delle tecnologie dell'informatica",15
85.42.00,"Istruzione universitaria e post-universitaria; accademie e conservatori",15
72,"RICERCA SCIENTIFICA E SVILUPPO",14
72.19.09,"Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria",13
82.20,"Attività dei call center",10
72.1,"RICERCA E SVILUPPO SPERIMENTALE NEL CAMPO DELLE SCIENZE NATURALI E DELL'INGEGNERIA",8
62.02.00,"Consulenza nel settore delle tecnologie dell'informatica",8
70.22.09,"Altre attivit di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale",7
74.90.21,"Consulenza sulla sicurezza ed igiene dei posti di lavoro",6
26.20,"Fabbricazione di computer e unità periferiche",6
53.10,"Attività postali con obbligo di servizio universale",6
63.11.11,"Elaborazione elettronica di dati contabili (esclusi i Centri di assistenza fiscale - Caf)",6
26.30.29,"Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni",6
72.19.00,"Altre attività di ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell ingegneria",5
27.90.09,"Fabbricazione di altre apparecchiature elettriche nca",5
33.20.02,"Installazione di apparecchi elettrici ed elettronici per telecomunicazioni, di apparecchi trasmittenti radiotelevisivi, di impianti di apparecchiature elettriche ed elettroniche (esclusa l'installazione all'interno degli edifici)",4
26.51.29,"Fabbricazione di altri apparecchi di misura e regolazione, strumenti da disegno, di contatori di elettricit, gas, acqua ed altri liquidi, di bilance analitiche di precisione (incluse parti staccate ed accessori)",4
20.14.09,"Fabbricazione di altri prodotti chimici di base organici nca",4
61.90.99,"Altre attivit connesse alle telecomunicazioni nca",4
82.99,"Altri servizi di supporto alle imprese nca",3
28.99.20,"Fabbricazione di robot industriali per usi molteplici (incluse parti e accessori)",3
71.1,"ATTIVIT DEGLI STUDI DI ARCHITETTURA, INGEGNERIA ED ALTRI STUDI TECNICI",3
86.90.12,"Laboratori di analisi cliniche",3
58.29,"Edizione di altri software",3
72.20.00,"Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche",3
64.99.60,"Altre intermediazioni finanziarie nca",3
85.42,"Istruzione universitaria e post-universitaria; accademie e conservatori",3
74.90.93,"Altre attivit di consulenza tecnica nca",3
63.11.19,"Altre elaborazioni elettroniche di dati",2
82.11.01,"Servizi integrati di supporto per le funzioni d'ufficio",2
46.42.40,"Commercio all'ingrosso di calzature e accessori",2
26.30.10,"Fabbricazione di apparecchi trasmittenti radiotelevisivi (incluse le telecamere)",2
71.12.10,"Attivit degli studi di ingegneria",2
62.09.01,"Configurazione di personal computer",2
62.03,"Gestione di strutture informatizzate",2
71.20.10,"Collaudi e analisi tecniche di prodotti",2
62.09,"Altre attivit dei servizi connessi alle tecnologie dell'informatica",2
25.11,"Fabbricazione di strutture metalliche e di parti di strutture",2
84.1,"AMMINISTRAZIONE PUBBLICA: AMMINISTRAZIONE GENERALE, ECONOMICA E SOCIALE",2
86.10.20,"Ospedali e case di cura specialistici",2
16.29.19,"Fabbricazione di altri prodotti vari in legno (esclusi i mobili)",2
63.11.30,"Hosting e fornitura di servizi applicativi (ASP)",2
26.11.01,"Fabbricazione di diodi, transistor e relativi congegni elettronici",2
33.20.03,"Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (incluse le apparecchiature di controllo dei processi industriali)",2
28.30.90,"Fabbricazione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia",2
33.20.06,"Installazione di macchine per ufficio, di mainframe e computer simili",2
63.12.00,"Portali web",2
46.90.00,"Commercio all'ingrosso non specializzato",2
33.12.10,"Riparazione e manutenzione di macchine di impiego generale",2
46.69.99,"Commercio all'ingrosso di altre macchine ed attrezzature per l'industria, il commercio e la navigazione nca",2
43.22.03,"Installazione di impianti di spegnimento antincendio (inclusi quelli integrati e la manutenzione e riparazione)",2
61.10.00,"Telecomunicazioni fisse",2
65.20.00,"Attivit di riassicurazione",2
95.11.00,"Riparazione e manutenzione di computer e periferiche",2
22.22,"Fabbricazione di imballaggi in materie plastiche",2
47.19.90,"Empori ed altri negozi non specializzati di vari prodotti non alimentari",2
46.73.29,"Commercio all'ingrosso di altri materiali da costruzione",2
55.10.00,Alberghi,2
80.20.00,"Servizi connessi ai sistemi di vigilanza",2
85.59.20,"Corsi di formazione e corsi di aggiornamento professionale",2
46.51.00,"Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software",2
99.00.00,"Organizzazioni ed organismi extraterritoriali",2
33.12.99,"Riparazione e manutenzione di altre macchine per impieghi speciali nca (incluse le macchine utensili)",2
31.09.20,"Fabbricazione di sedie e sedili (esclusi quelli per aeromobili, autoveicoli, navi, treni, ufficio e negozi)",2
31.01.10,"Fabbricazione di sedie e poltrone per ufficio e negozi",2
47.61.00,"Commercio al dettaglio di libri nuovi in esercizi specializzati",2
71.11.00,"Attivit degli studi di architettura",2
24.51.00,"Fusione di ghisa e produzione di tubi e raccordi in ghisa",2
26.20.00,"Fabbricazione di computer e unit periferiche",2
